# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	126941
#@/user_id	ca62f353-43e6-488d-90b6-9dde39353ca4
a 	啊	c=89 d=7.44404 t=126941
biǎo xiàn chū lái 	表现出来	c=1 d=0.722527 t=126941
biǎo xiàn shì 	表现是	c=1 d=0.951229 t=126941
biǎo xiàn wéi 	表现为	c=1 d=0.932394 t=126941
biǎo xiàn xíng shì 	表现形式	c=1 d=0.895834 t=126941
biǎo xiàn zài 	表现在	c=2 d=1.11342 t=126941
bà ba 	爸爸	c=4 d=1.47765 t=126941
bà ba mā ma 	爸爸妈妈	c=1 d=0.339596 t=126941
bà le 	罢了	c=3 d=1.56892 t=126941
bà mā 	爸妈	c=1 d=0.985112 t=126941
bà wáng 	霸王	c=0 d=0.0865022 t=126941
bà wáng shé 	霸王蛇	c=1 d=0.869358 t=126941
bàn 	办	c=4 d=1.5207 t=126941
bàn 	半	c=1 d=0.65377 t=126941
bàn duàn 	半段	c=0 d=0.0250324 t=126941
bàn dà shì 	办大事	c=1 d=0.358796 t=126941
bàn fǎ 	办法	c=75 d=6.90062 t=126941
bàn gè xiǎo shí 	半个小时	c=1 d=0.304221 t=126941
bàn gè yuè 	半个月	c=3 d=1.78348 t=126941
bàn gōng 	办公	c=0 d=0.0324652 t=126941
bàn gōng chǎng jǐng 	办公场景	c=1 d=0.32628 t=126941
bàn gōng shì 	办公室	c=4 d=2.05936 t=126941
bàn gōng wén 	办公文	c=0 d=0.0782705 t=126941
bàn gōng wén xiū gǎi 	办公文修改	c=1 d=0.786628 t=126941
bàn kāi 	半开	c=2 d=1.1784 t=126941
bàn kǎ 	办卡	c=3 d=1.19315 t=126941
bàn ne 	办呢	c=1 d=1 t=126941
bàn nián 	半年	c=6 d=2.0985 t=126941
bàn rì 	半日	c=1 d=0.960789 t=126941
bàn shēng 	伴生	c=2 d=1.51378 t=126941
bàn suí 	伴随	c=3 d=1.84956 t=126941
bàn wǒ 	伴我	c=2 d=1.36848 t=126941
bàn xiǎo shí 	半小时	c=2 d=0.647265 t=126941
bàn yì zhāng 	办一张	c=1 d=0.99005 t=126941
bàn zhēn bàn jiǎ 	半真半假	c=1 d=0.66365 t=126941
bàn zòu 	伴奏	c=1 d=0.806541 t=126941
bàng 	棒	c=2 d=1.70427 t=126941
bàng dāng 	棒当	c=1 d=0.514274 t=126941
bàng jiǎn chá 	棒检查	c=1 d=0.657047 t=126941
bàng xiě 	棒写	c=1 d=0.865022 t=126941
bàng yòng hù 	棒用户	c=1 d=0.946485 t=126941
bào 	报	c=15 d=3.60515 t=126941
bào 	爆	c=1 d=0.451581 t=126941
bào bèi 	报备	c=1 d=0.951229 t=126941
bào cuò 	报错	c=53 d=8.3355 t=126941
bào cuò rú xià 	报错如下	c=1 d=0.740818 t=126941
bào dào 	报到	c=2 d=0.918512 t=126941
bào fā 	爆发	c=2 d=0.615697 t=126941
bào guò 	报过	c=1 d=0.782705 t=126941
bào gào 	报告	c=173 d=15.087 t=126941
bào gào le 	报告了	c=1 d=0.900325 t=126941
bào gào lǐ 	报告里	c=9 d=1.60171 t=126941
bào gào zhōng 	报告中	c=1 d=0.67032 t=126941
bào gào zài 	报告在	c=1 d=0.697676 t=126941
bào gěi 	报给	c=1 d=0.856415 t=126941
bào le 	报了	c=3 d=1.34845 t=126941
bào le 	爆了	c=1 d=0.946485 t=126941
bào lì 	暴利	c=1 d=0.438235 t=126941
bào lì méi jǔ 	暴力枚举	c=1 d=0.402524 t=126941
bào lù 	暴露	c=21 d=4.45491 t=126941
bào lù chū 	暴露出	c=1 d=0.637628 t=126941
bào lù chū lái 	暴露出来	c=2 d=1.20098 t=126941
bào lù miàn 	暴露面	c=42 d=11.2541 t=126941
bào lǜ 	爆率	c=1 d=0.449329 t=126941
bào péng 	爆棚	c=1 d=0.440432 t=126941
bào pò 	爆破	c=26 d=6.33393 t=126941
bào pò jiǎo běn 	爆破脚本	c=1 d=0.477114 t=126941
bào qiàn 	抱歉	c=1 d=0.826959 t=126941
bào shuì 	报税	c=5 d=2.77441 t=126941
bào shàng qù 	报上去	c=1 d=0.869358 t=126941
bào shāng 	爆伤	c=1 d=0.900325 t=126941
bào sòng 	报送	c=8 d=5.26268 t=126941
bào wén 	报文	c=49 d=7.71799 t=126941
bào wén 	豹纹	c=1 d=0.927743 t=126941
bào wén gé shì 	报文格式	c=1 d=0.759572 t=126941
bào wén gòu zào 	报文构造	c=1 d=0.71177 t=126941
bào wén jié gòu 	报文结构	c=2 d=1.21896 t=126941
bào wén lǐ 	报文里	c=2 d=1.19462 t=126941
bào wén rú xià 	报文如下	c=1 d=0.818731 t=126941
bào wén shàng 	报文上	c=1 d=0.97531 t=126941
bào wén zhōng 	报文中	c=4 d=1.61407 t=126941
bào wén zhǔ yào zài 	报文主要在	c=1 d=0.737123 t=126941
bào xiāo 	报销	c=7 d=3.69668 t=126941
bào xiāo xì tǒng 	报销系统	c=1 d=0.960789 t=126941
bái 	白	c=5 d=1.52963 t=126941
bái bái làng fèi 	白白浪费	c=1 d=0.946485 t=126941
bái de 	白的	c=1 d=0.878095 t=126941
bái dǐ 	白底	c=1 d=0.57695 t=126941
bái gàn 	白干	c=1 d=0.856415 t=126941
bái hé 	白盒	c=1 d=0.839457 t=126941
bái hé cè shì 	白盒测试	c=1 d=0.687289 t=126941
bái hǔ 	白虎	c=2 d=1.07588 t=126941
bái kāi shuǐ 	白开水	c=1 d=1 t=126941
bái liǎn 	白脸	c=1 d=0.960789 t=126941
bái máo 	白毛	c=1 d=0.923116 t=126941
bái míng dān 	白名单	c=1 d=0.970446 t=126941
bái nǐ xiě yí gè 	白你写一个	c=1 d=0.865022 t=126941
bái shé 	白蛇	c=5 d=4.53031 t=126941
bái shǒu tào 	白手套	c=1 d=0.983602 t=126941
bái sè 	白色	c=3 d=1.20308 t=126941
bái sī 	白丝	c=1 d=0.843665 t=126941
bái tiān 	白天	c=3 d=2.19939 t=126941
bái è 	白厄	c=2 d=1.82283 t=126941
bèi 	备	c=1 d=1 t=126941
bèi 	被	c=125 d=8.66656 t=126941
bèi bù 	背部	c=1 d=0.704688 t=126941
bèi cè 	被测	c=3 d=1.42524 t=126941
bèi cè jiàn 	被测件	c=1 d=0.965605 t=126941
bèi cè shè bèi 	被测设备	c=1 d=0.923116 t=126941
bèi dòng 	被动	c=1 d=0.995012 t=126941
bèi dǔ sǐ 	被堵死	c=1 d=0.375311 t=126941
bèi fá 	被罚	c=0 d=0.0759572 t=126941
bèi fá wǒ xiě le 	被罚我写了	c=1 d=0.763379 t=126941
bèi fèn 	备份	c=60 d=9.07332 t=126941
bèi fèn dào 	备份到	c=1 d=0.831104 t=126941
bèi fèn xià lái 	备份下来	c=1 d=0.970446 t=126941
bèi fèn yí xià 	备份一下	c=2 d=1.68424 t=126941
bèi fā xiàn 	被发现	c=1 d=0.718924 t=126941
bèi fēn pèi 	被分配	c=1 d=0.856415 t=126941
bèi gǎi le 	被改了	c=1 d=0.609571 t=126941
bèi hòu 	背后	c=2 d=0.382697 t=126941
bèi jǐng 	背景	c=13 d=3.41986 t=126941
bèi jǐng shēn 	背景深	c=1 d=0.941765 t=126941
bèi ké 	贝壳	c=2 d=1.30354 t=126941
bèi kòng zhì 	被控制	c=1 d=1 t=126941
bèi kǎo 	备考	c=1 d=0.519442 t=126941
bèi lián jiē 	被连接	c=1 d=0.204948 t=126941
bèi luò bó gé 	贝洛伯格	c=1 d=0.852144 t=126941
bèi lùn 	悖论	c=1 d=0.543351 t=126941
bèi mà 	被骂	c=1 d=0.995012 t=126941
bèi mài 	被卖	c=1 d=0.814647 t=126941
bèi mài le 	被卖了	c=1 d=0.802519 t=126941
bèi piàn le 	被骗了	c=1 d=0.806541 t=126941
bèi pò huài 	被破坏	c=1 d=0.810584 t=126941
bèi qīng kōng 	被清空	c=1 d=0.960789 t=126941
bèi rèn wéi 	被认为	c=1 d=0.818731 t=126941
bèi rén 	被人	c=1 d=0.360595 t=126941
bèi shā le 	被杀了	c=1 d=0.927743 t=126941
bèi wǒ 	被我	c=1 d=0.970446 t=126941
bèi xiū gǎi 	被修改	c=1 d=0.97531 t=126941
bèi xiū gǎi guò 	被修改过	c=1 d=0.960789 t=126941
bèi xiǎng fǎ duō le 	被想法多了	c=1 d=0.937067 t=126941
bèi xuǎn 	备选	c=3 d=2.4479 t=126941
bèi yòng 	备用	c=2 d=0.91943 t=126941
bèi yòng yú 	被用于	c=2 d=0.937543 t=126941
bèi zhàn yòng 	被占用	c=1 d=0.680451 t=126941
bèi zhèng shí 	被证实	c=1 d=0.847894 t=126941
bèi zhù 	备注	c=5 d=2.47548 t=126941
bèi àn 	备案	c=1 d=0.882497 t=126941
bèi ěr 	贝尔	c=3 d=2.30796 t=126941
